Sample Unnamed: 0_level_1	Sequenced_Read-pair Unnamed: 1_level_1	Mapped_Read-pair Count	Mapped_Read-pair Percentage	Nonclonal_Read-pair Count	Nonclonal_Read-pair Percentage	cis<1kb Count	cis<1kb Percentage	cis>1kb Count	cis>1kb Percentage	trans Count	trans Percentage	mCCC/CCC Unnamed: 12_level_1	mCG/CG Unnamed: 13_level_1	mCH/CH Unnamed: 14_level_1	Estimated mCG/CG Unnamed: 15_level_1	id	batch	cell_type
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD008	612614	337843	0.5514777657709422	317994	0.9412478577327339	257844	0.8108	39281	0.1235	20869	0.0656	0.01425	0.79769	0.04295	0.79477	181218_21yr_2_C1_AD008	181218_21yr	Vip
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD012	647411	353888	0.5466203076561875	333126	0.9413317207704133	268244	0.8052	43230	0.1298	21652	0.065	0.0149	0.81624	0.04643	0.81346	181218_21yr_2_C1_AD012	181218_21yr	Sst
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C10_AD002	1179843	666148	0.5646073248728857	576360	0.8652131358196677	493885	0.8569	54694	0.0949	27781	0.0482	0.01242	0.74689	0.04168	0.74371	181218_21yr_2_C10_AD002	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C10_AD004	1314088	726400	0.5527788093339259	627716	0.8641464757709251	522518	0.8324	74422	0.1186	30776	0.049	0.01435	0.75384	0.0454	0.75026	181218_21yr_2_C10_AD004	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C10_AD006	1474305	819066	0.5555607557459278	710274	0.8671755389675557	578483	0.8145	88671	0.1248	43120	0.0607	0.01187	0.76177	0.03711	0.75891	181218_21yr_2_C10_AD006	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C10_AD007	1372751	775391	0.5648446076528081	669609	0.8635759249204595	563176	0.8411	68770	0.1027	37663	0.0562	0.01222	0.78357	0.04363	0.78089	181218_21yr_2_C10_AD007	181218_21yr	L6
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C10_AD010	1274918	708971	0.5560914505874103	612528	0.863967637604359	501363	0.8185	78474	0.1281	32691	0.0534	0.01334	0.77329	0.04651	0.77022	181218_21yr_2_C10_AD010	181218_21yr	L4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD001	382292	210627	0.5509584296820231	195100	0.9262820056308071	157168	0.8056	25101	0.1287	12831	0.0658	0.01716	0.81093	0.05954	0.80763	181218_21yr_2_C11_AD001	181218_21yr	Ndnf
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD002	558814	314242	0.562337378805828	290881	0.9256592053258317	243058	0.8356	32774	0.1127	15049	0.0517	0.01375	0.80617	0.04776	0.80347	181218_21yr_2_C11_AD002	181218_21yr	Pvalb
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C11_AD004	637516	354089	0.5554197855426374	327367	0.9245330976110526	269344	0.8228	40621	0.1241	17402	0.0532	0.01403	0.78909	0.04361	0.78609	181218_21yr_2_C11_AD004	181218_21yr	L23
